"Address","Balance"
"0x8e7afc3733689bd020a0230e240a797fc035d223","13605.480216946147653151"
"0xe8fed9d7b9e7ed19671ee35f169db6f007b2ffd4","149500.809501154393359364"
"0x048e12f5e992485a83899b4758730ba0a814bd67","283356.207563304259830502"
"0x082370c203b19508281eb57fbd8b104cd9a28fbd","12954.059645453728235203"
"0x36ab173b2a6c920abc41aea2b0640783bf71d8c3","30042.826068585408317799"
"0x8ffcc9d3e2be7580ab48497c40d121e45d4385cd","6.451924326004309488"
"0xf0033a759c212c36a22d4572e6046be49027a3e6","0.98858994471903113"
"0xaade7af6d6e96d114c3e8876f2b32335b32bc4b0","6.635302574779744117"
"0x5cb5563e5779bb39f3008ba16ee6f72e4d0f5a84","4.171036711937404729"
"0x5d22db0ddc365dbdc0983441e2906d51855a142d","11364549.775208265792756691"
"0x95f6ef4a50f540010910ddbca5dc43374c00fd66","12.570684093850164394"
"0x44f6cf1a330b584f6f021cae08c98e59107bb4a5","20169.900241341230877959"
"0xd5d666614e91c2794e923da16e7c9fa6d0f66ba8","5987.918616857548824523"
"0x0f7594474db81b82a80de108044a837ea1e88ee0","2379.633402134536593983"
"0x7c3b29ca45fb27a55014233fd9c29b19c04ecdbb","41.950093147507884647"
"0x89abcd47da1adcc90aa02b775c5d720cb3b88ca5","48270.479732937375580611"
"0x8c47401cce1672d49b6f30702e65402b33e39d5b","11.678902793614147693"
"0x1a96db12ad7f0c9f91c538d16c39c360b5e8fb21","848590.904046169390110046"
"0xf372e96b87c4e61cd2bb97684183e160f05b2760","195.264868494345405868"
"0x08ed025df32fd32010a00ab4756a104d8f1b5959","313.482813269138605393"
"0x04b36a0ec99715a2a22a588ca14c416e92eaf0d8","26410.686613591103571762"
"0x3d91ad906c3969f86c588c988f721d5a735c6f81","870.376532246663506589"
"0xd870e0af031778d00d53943bd55e00eed0d3013e","22879.020626265810632549"
"0x61125f52cee83ed5d7a6cd14598d34974b11865e","10137.046756512243963738"
"0x8f2c46ce880c288bbf0926123814496a9842a591","7977.770652399292782968"
"0x4875bdced972ac5a4d884d42fc8d9a4e8eaa7091","385463.758878741676387758"
"0xc446277b1d68d1be119f0c84a0c554e7fdc508e3","4713.29674357877529082"
"0xeaf5b8f7aecf9cffbe38746923bf9cfdd86bb883","25.455023048805141561"
"0xb3cd6922415a5c561cdb83a16205a7a403aeded3","1469.885185608162107204"
"0xec2dd60a46a3656f85750866be296cdf799c7e89","1261.540618034078673697"
"0x582344bab2f68528b6bf033f5daa4804ba0019a9","6260.07669393432321023"
"0xd7397514f83ca8628c4aa769d2d7c850b36abe13","704.01892965309505537"
"0x0d0cdf24a963e5d342afac51803b5c3454c3b49c","10258.158765862655866407"
"0xcd0f92a0e959b324effa38ddd43b74462bcaa95f","349378.728406519433574491"
"0x530cfdf08e0da2f0c75b750c62244e7336922518","16871.55372298332441456"
"0xe2abad6a54362f470415731a0dd9be05ef65c4ce","85089.148495169429382968"
"0x01ce6374af7dc1b9955c84f47258a15b7f98294f","412.82867451208048204"
"0x3a4f8031a2ecdcc7a6392f792602dc0f69041f31","10718.874239623975118274"
"0x602e066261795b20f81258ae091f751c58ccaf74","7432.70457405871060694"
"0xed855d099801ac83469aa0d610d32f839f8c1cbb","95562.969155923480125068"
"0x248e0006472f08d5b06d3d252085b3cb7a595fb0","173.555195579275380563"
"0x4e2cc19317d23680aafe52189491d12f890c3c02","4387.93062103623062115"
"0xa8e95d233730c2fc4c526b961a5f87124d5f77a9","312176.638681701985677486"
"0xbd63533abbab74e5c4da3d159708a5f1879598d5","140.928623865900737594"
"0xeac9360f031c9702a6b6590adbe9e2015b663ec0","30991.797381310418160522"
"0x71b97bd14cd9180162d0c7454f6995ad8216589a","24.638263013529280388"
"0xba14cbcf32f81a9da6269f58b4a278f1f4e78832","1687.592766996417289582"
"0xf6a039b6260a227bae47f6ae2ab1a1d6a7823800","2849.845361565886938331"
"0x251e1a5e908bf8bef1871d8eab53df13a9ecd8ff","1328.320053383335642154"
"0x405a2527b2ec97764d79fece3fcbab396155d179","1687.592766996417289582"
"0x2b5a0be5940b63de1eddccca7bd977357e2488ed","784.309557747997923866"
"0xbd161d4ea1abdd4b86cf82607323c6d429206156","1687.592766996417289582"
"0x854ffee7d6bcb2429564a2184d6c92a461d8a1a7","31685.920039947209953742"
"0xc7fea0ce6a2ad72e955434a406c093662cfabea5","1876.970560941555559466"
"0xaf235758985207c4c7b289b91bfea12553f2176f","1637.06053410457150383"
"0x5f89a6b152259139c6be79cf814c85907099891c","85612.418684738263473372"
"0x16eb1deae4c4c32805da237db93771b4cb12416a","18006.352748665828533364"
"0xac8186e1cc837a24b631d444bfa572717fa02cf0","12639.970851135958412089"
"0xbc3d5a515bcf6fee171a00dfcc2b4f0879441f02","39006.450400811542023368"
"0x3596263624a518a63d918657af3c7d4d9dd91a20","56360.173579009425417894"
"0x36c4c53bb6b0b8c59e98b35a1eabb5d43b5bc27f","8417.273659890873784706"
"0xcaae08b0ebac4554d96bf9cb12f08f345b1223ca","896.471297726416300707"
"0x97db0e57b1c315a08cc889ed405adb100d7f137d","25878.497018388591192007"
"0xbc622c6bcc9200c68d525adf5c8b1b9c3d1c6de3","6491.754883692035800675"
"0xe9d2e0bc8c8d62048948ee9847b3606702cc1abe","53337.852316534036928026"
"0x5ab54c06e5f6fa2c90614aa8cc814c682a094846","11810.791920744114587184"
"0xb21b329a61a550bcae2eae037d632643f4f2c032","1033.04780006420232359"
"0x589fd119a9c722efa970d6fd45373919e9d5426a","1855.952129672929419544"
