Address,Start votes,Start balance,End votes,End balance,Excluded ,CRE8R Payout,,
0x97db0e57b1c315a08cc889ed405adb100d7f137d,0,26079.67277,26065.6737,26037.15189,,171.5855079,,
0x9f63d8c42cd762c36bb3a63a13fdc3b7eeefa853,0,24847.43635,24842.70446,24811.61479,,163.5349277,,
0xdf3508e1e3cbe37e2abb42d2ec7ab1034ca7c688,0,24019.95772,24014.11472,23980.58022,,158.0804747,,
0xda228c399f9fb84571983ed5a0aaecdbec4ea649,0,23998.46217,23988.39969,23963.86454,,157.9111974,,
0x4126ba950c4f8a57f32b372643889f40f15533cc,0,23920.5303,23915.86312,23886.04502,,157.4337026,,
0xb2d3333410144d6a6a5ce7fa3af90cb01ad2b369,23108.05842,24432.81028,23108.05842,24397.24332,,152.1160737,,
0x8c8a28151e27f52b8322d976076e1671c26d7a19,0,22854.4578,22851.50963,22821.50944,,150.4272604,,
0x6517c7975f40ca7f68e618029ff0aa91f8fd021a,0,21843.46282,21842.72565,21810.37587,,143.7866222,,
0xd9277f43bdfbbd18f5ba0adeb38f3ace2929e773,0,21738.13213,21729.45458,21705.85902,,143.0409796,,
0xde8878aa52d2eea1f8b83edca567afea71f970db,0,21242.22221,21234.98524,21210.04597,,139.7859794,,
0x4b63fff1eacb6daa7d819194a583ecde5fb073b5,0,21223.53136,21195.40619,21192.178,,139.5254379,,
0x641d7cb3c78ce9757b578d07718e0a26d6edb7c3,0,20850.38072,20850.25281,20819.88015,,137.253357,,
0x3538035de787ac6cf5c4379147af5f49a465eadc,0,20194.72081,20174.87304,20165.17936,,132.807457,,
0xdc798f72f05894a49d3164d17ded11205164e696,0,20174.12682,20163.82867,20140.87162,,132.7347539,,
0x8eb9da111684294f6d57c8c400c71d33e1221800,0,19123.27802,19122.65191,19091.75505,,125.8808799,,
0xa80d2908abdfef9c3462cda142d23d291512de38,0,18978.16155,18968.04556,18949.84532,,124.8631349,,
0x44cc5fccfa0be0062ac07bd1adadd1bf7621855a,0,17768.36092,17767.29484,17739.70367,,116.958815,,
0xdcf3dec273b9f459d1c3329535ec3f23e3edd4fc,0,17121.42031,17115.66205,17008.46305,,112.6692369,,
0x27adfbdb9a913ffdf886b4f76eca80ab8f189bef,0,16554.75125,16552.75214,16527.61195,,108.9637052,,
0x6ea1fd3efb9f1cd34b3376d6f00148824c025775,0,15188.57808,15183.35506,15163.67844,,99.94921751,,
